Format Version,1.23,Take Name,5-1-flight3-SID-combined_take5_000,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2025-05-01 12.58.35.134 PM,Capture Start Frame,1156092,Total Frames in Take,95938,Total Exported Frames,95938,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,drone,drone,drone,drone,drone,drone
,ID,3F5BD0B126BE11F0E509D45A5468DEBA,3F5BD0B126BE11F0E509D45A5468DEBA,3F5BD0B126BE11F0E509D45A5468DEBA,3F5BD0B126BE11F0E509D45A5468DEBA,3F5BD0B126BE11F0E509D45A5468DEBA,3F5BD0B126BE11F0E509D45A5468DEBA
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,0.004576,0.001222,-0.004961,0.227103,0.474597,0.594180
1,0.004000,0.001035,0.008891,-0.007539,0.227109,0.474597,0.594175
2,0.008000,0.002513,0.002982,-0.005741,0.227099,0.474602,0.594179
3,0.013000,-0.001310,0.000780,-0.000723,0.227099,0.474603,0.594188
4,0.017000,0.002264,-0.007389,-0.008945,0.227104,0.474599,0.594180
5,0.021000,-0.002760,-0.003281,-0.010387,0.227104,0.474604,0.594176
6,0.025000,0.006098,0.002350,-0.002516,0.227103,0.474603,0.594188
7,0.029000,0.001329,0.000317,-0.003918,0.227095,0.474602,0.594185
8,0.033000,0.002203,0.002810,-0.005230,0.227106,0.474601,0.594178
9,0.038000,0.000503,-0.006069,-0.003299,0.227095,0.474601,0.594185
10,0.042000,-0.001542,-0.001325,-0.009503,0.227105,0.474602,0.594179
11,0.046000,0.006087,0.003471,0.008168,0.227097,0.474606,0.594182
12,0.050000,-0.001393,-0.002242,0.002355,0.227103,0.474602,0.594183
13,0.054000,0.002736,0.005825,0.000432,0.227101,0.474602,0.594177
14,0.058000,0.001531,-0.000835,-0.001936,0.227104,0.474600,0.594179
15,0.063000,0.002501,0.002315,-0.003439,0.227098,0.474600,0.594183
16,0.067000,0.001797,-0.005388,-0.008905,0.227104,0.474600,0.594179
17,0.071000,0.001422,0.007743,-0.004974,0.227110,0.474598,0.594174
18,0.075000,0.001737,0.005045,0.001477,0.227103,0.474599,0.594181
19,0.079000,-0.000479,0.001083,-0.002595,0.227107,0.474599,0.594175
20,0.083000,0.004378,0.000726,-0.009724,0.227106,0.474601,0.594178
21,0.088000,0.002399,-0.001319,0.000543,0.227103,0.474599,0.594179
22,0.092000,-0.000409,-0.002378,-0.006713,0.227099,0.474594,0.594182
23,0.096000,-0.001210,0.005044,-0.001592,0.227100,0.474599,0.594178
24,0.100000,-0.000354,0.000964,-0.011388,0.227103,0.474595,0.594178
25,0.104000,-0.001360,0.005692,-0.007389,0.227102,0.474600,0.594180
26,0.108000,0.001538,0.005643,0.003282,0.227107,0.474598,0.594172
27,0.113000,0.006458,0.000366,-0.001366,0.227105,0.474598,0.594185
28,0.117000,0.003189,0.002192,-0.005325,0.227107,0.474599,0.594181
29,0.121000,-0.000899,-0.001411,-0.002575,0.227106,0.474600,0.594176
30,0.125000,-0.000252,0.009869,-0.000937,0.227107,0.474595,0.594176
31,0.129000,0.004918,0.006397,-0.001440,0.227102,0.474596,0.594181
32,0.133000,0.004231,0.001227,-0.005887,0.227100,0.474595,0.594177
33,0.138000,-0.007819,0.007272,-0.012126,0.227105,0.474596,0.594173
34,0.142000,0.002631,0.006801,0.001342,0.227102,0.474594,0.594177
35,0.146000,0.001597,-0.004054,-0.003801,0.227098,0.474597,0.594181
36,0.150000,0.003505,0.005466,-0.000781,0.227101,0.474601,0.594177
37,0.154000,0.006877,0.000989,-0.007505,0.227101,0.474601,0.594174
38,0.158000,0.001624,0.004795,-0.004868,0.227098,0.474600,0.594177
39,0.163000,0.000733,0.003488,0.004746,0.227096,0.474594,0.594176
40,0.167000,0.001919,0.002553,0.001701,0.227096,0.474597,0.594176
41,0.171000,0.008062,-0.009865,-0.000992,0.227097,0.474597,0.594176
42,0.175000,0.001830,0.006104,0.012455,0.227100,0.474599,0.594177
43,0.179000,0.000371,-0.001968,-0.001355,0.227099,0.474593,0.594179
44,0.183000,0.005459,-0.006662,-0.002829,0.227091,0.474604,0.594183
45,0.188000,0.007816,0.003248,0.004435,0.227098,0.474597,0.594175
46,0.192000,-0.005707,0.002337,-0.002987,0.227096,0.474600,0.594179
47,0.196000,-0.003579,-0.006955,-0.009256,0.227094,0.474603,0.594175
48,0.200000,0.005098,0.008292,0.002023,0.227100,0.474596,0.594178
49,0.204000,-0.000725,0.003426,-0.003314,0.227101,0.474600,0.594177
50,0.208000,0.005564,0.008719,0.002076,0.227107,0.474599,0.594177
51,0.213000,-0.000491,-0.001406,-0.002257,0.227096,0.474598,0.594182
52,0.217000,0.001901,-0.000453,-0.006552,0.227097,0.474597,0.594180
53,0.221000,0.000794,0.002917,-0.000977,0.227094,0.474603,0.594177
54,0.225000,-0.000423,-0.002791,-0.005926,0.227101,0.474600,0.594174
55,0.229000,-0.004318,0.002439,-0.006541,0.227105,0.474597,0.594173
56,0.233000,0.003537,-0.000268,-0.005578,0.227106,0.474605,0.594176
57,0.238000,0.005564,0.000523,-0.003682,0.227102,0.474599,0.594188
58,0.242000,0.005176,0.005084,0.005344,0.227105,0.474597,0.594173
59,0.246000,-0.001980,0.001317,-0.001649,0.227102,0.474598,0.594176
60,0.250000,-0.001464,0.002224,-0.001864,0.227103,0.474601,0.594177
61,0.254000,0.001912,0.004005,0.001008,0.227102,0.474599,0.594175
62,0.258000,0.001666,0.010498,-0.003998,0.227100,0.474598,0.594174
63,0.263000,-0.003030,-0.006518,-0.001836,0.227092,0.474603,0.594180
64,0.267000,0.001166,0.000348,-0.005342,0.227095,0.474601,0.594179
65,0.271000,0.004928,0.004149,0.000732,0.227100,0.474598,0.594175
66,0.275000,0.001101,-0.001954,0.004001,0.227092,0.474604,0.594180
67,0.279000,0.001092,-0.007191,-0.004724,0.227104,0.474604,0.594179
68,0.283000,0.002517,0.002172,-0.004153,0.227097,0.474597,0.594175
69,0.288000,0.001029,0.007001,-0.000158,0.227101,0.474597,0.594172
70,0.292000,-0.001644,-0.004427,-0.009154,0.227091,0.474597,0.594182
71,0.296000,0.004357,0.005878,0.003233,0.227097,0.474597,0.594168
72,0.300000,0.003076,0.005016,-0.002453,0.227103,0.474599,0.594172
73,0.304000,-0.002366,0.006148,0.005073,0.227103,0.474599,0.594177
74,0.308000,-0.002502,0.004771,0.002062,0.227097,0.474600,0.594167
75,0.313000,-0.001258,-0.002107,-0.005185,0.227096,0.474600,0.594179
76,0.317000,-0.003230,0.002918,-0.010159,0.227096,0.474598,0.594173
77,0.321000,-0.004909,0.006638,-0.005701,0.227102,0.474598,0.594175
78,0.325000,-0.000342,0.009036,0.001691,0.227104,0.474593,0.594167
79,0.329000,0.002178,0.006670,-0.004217,0.227102,0.474601,0.594176
80,0.333000,0.004729,0.003674,-0.002279,0.227100,0.474599,0.594182
