Format Version,1.23,Take Name,5-6-SID-pitch1,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-05-06 08.42.57.977 AM,Capture Start Frame,259605,Total Frames in Take,44511,Total Exported Frames,44511,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,drone,drone,drone,drone,drone,drone
,ID,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,-0.239381,0.445971,-1.901410,-0.037781,0.235162,0.723922
1,0.008000,-0.241408,0.441269,-1.902758,-0.037785,0.235159,0.723923
2,0.017000,-0.242323,0.440957,-1.911165,-0.037778,0.235159,0.723919
3,0.025000,-0.239977,0.445891,-1.902614,-0.037777,0.235161,0.723916
4,0.033000,-0.245085,0.443329,-1.903854,-0.037782,0.235164,0.723916
5,0.042000,-0.237389,0.443907,-1.900814,-0.037777,0.235157,0.723923
6,0.050000,-0.236095,0.449769,-1.905712,-0.037779,0.235162,0.723921
7,0.058000,-0.239680,0.438365,-1.901765,-0.037779,0.235160,0.723924
8,0.067000,-0.243184,0.443937,-1.905103,-0.037777,0.235158,0.723922
9,0.075000,-0.242427,0.446549,-1.899335,-0.037783,0.235161,0.723921
10,0.083000,-0.237922,0.440125,-1.900504,-0.037784,0.235162,0.723923
11,0.092000,-0.240557,0.449331,-1.900569,-0.037778,0.235161,0.723921
12,0.100000,-0.237011,0.444095,-1.904596,-0.037783,0.235158,0.723921
13,0.108000,-0.239047,0.447777,-1.901983,-0.037778,0.235158,0.723922
14,0.117000,-0.241509,0.446857,-1.905820,-0.037779,0.235158,0.723920
15,0.125000,-0.241125,0.440452,-1.909070,-0.037778,0.235159,0.723922
16,0.133000,-0.243733,0.446337,-1.901792,-0.037780,0.235160,0.723916
17,0.142000,-0.242406,0.442103,-1.900420,-0.037784,0.235165,0.723922
18,0.150000,-0.238766,0.451061,-1.899865,-0.037771,0.235158,0.723924
19,0.158000,-0.239274,0.447324,-1.898364,-0.037779,0.235161,0.723928
20,0.167000,-0.202781,0.467565,-1.881591,-0.037779,0.235131,0.723942
21,0.175000,-0.244088,0.458639,-1.899528,-0.037770,0.235159,0.723916
22,0.183000,-0.235357,0.443122,-1.905446,-0.037784,0.235158,0.723923
23,0.192000,-0.238769,0.442475,-1.904310,-0.037788,0.235160,0.723926
24,0.200000,-0.237016,0.450559,-1.898780,-0.037779,0.235165,0.723925
25,0.208000,-0.240176,0.446348,-1.906821,-0.037779,0.235160,0.723921
26,0.217000,-0.231556,0.446462,-1.905376,-0.037780,0.235160,0.723926
27,0.225000,-0.205192,0.464588,-1.880020,-0.037778,0.235134,0.723940
28,0.233000,-0.247237,0.465152,-1.908986,-0.037764,0.235159,0.723915
29,0.242000,-0.238181,0.439474,-1.904563,-0.037779,0.235156,0.723921
30,0.250000,-0.223640,0.437608,-1.901594,-0.037783,0.235149,0.723928
31,0.258000,-0.236215,0.451192,-1.906509,-0.037776,0.235159,0.723920
32,0.267000,-0.239983,0.453562,-1.904612,-0.037776,0.235155,0.723916
33,0.275000,-0.236863,0.448631,-1.898808,-0.037778,0.235157,0.723915
34,0.283000,-0.230571,0.447663,-1.905575,-0.037775,0.235151,0.723922
35,0.292000,-0.237680,0.444611,-1.909904,-0.037776,0.235154,0.723918
36,0.300000,-0.240526,0.449502,-1.908077,-0.037778,0.235161,0.723918
37,0.308000,-0.235234,0.450494,-1.905277,-0.037775,0.235158,0.723917
38,0.317000,-0.238178,0.453004,-1.901343,-0.037776,0.235162,0.723912
39,0.325000,-0.232795,0.448519,-1.905709,-0.037775,0.235154,0.723915
40,0.333000,-0.237896,0.442320,-1.907161,-0.037776,0.235153,0.723916
41,0.342000,-0.236445,0.445529,-1.900442,-0.037785,0.235160,0.723920
42,0.350000,-0.229052,0.444926,-1.898422,-0.037785,0.235159,0.723924
43,0.358000,-0.234795,0.447966,-1.901156,-0.037778,0.235160,0.723922
44,0.367000,-0.242847,0.447535,-1.902651,-0.037783,0.235162,0.723918
45,0.375000,-0.238792,0.441059,-1.908059,-0.037782,0.235156,0.723920
46,0.383000,-0.238358,0.450279,-1.902770,-0.037781,0.235161,0.723921
47,0.392000,-0.243509,0.444247,-1.894797,-0.037781,0.235159,0.723918
48,0.400000,-0.242867,0.446986,-1.901426,-0.037775,0.235159,0.723914
49,0.408000,-0.240790,0.449989,-1.904112,-0.037779,0.235162,0.723919
50,0.417000,-0.234371,0.441357,-1.903213,-0.037781,0.235153,0.723919
