Format Version,1.23,Take Name,5-6-SID-roll2,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-05-06 08.30.54.933 AM,Capture Start Frame,172841,Total Frames in Take,51877,Total Exported Frames,51877,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,drone,drone,drone,drone,drone,drone
,ID,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,-0.306108,0.201488,0.014826,-0.033527,0.232993,0.723998
1,0.008000,-0.308419,0.202865,0.014842,-0.033529,0.232990,0.724000
2,0.017000,-0.311776,0.200002,0.018230,-0.033528,0.232991,0.723993
3,0.025000,-0.313201,0.205154,0.023365,-0.033525,0.232985,0.723994
4,0.033000,-0.309667,0.207442,0.017720,-0.033533,0.232988,0.723996
5,0.042000,-0.305319,0.204508,0.018690,-0.033533,0.232985,0.723997
6,0.050000,-0.307944,0.194251,0.006368,-0.033532,0.232987,0.723996
7,0.058000,-0.316887,0.202543,0.012809,-0.033530,0.232990,0.723996
8,0.067000,-0.292447,0.207641,0.031034,-0.033534,0.232973,0.724010
9,0.075000,-0.296249,0.214244,0.024300,-0.033526,0.232982,0.724002
10,0.083000,-0.306708,0.200035,0.028294,-0.033526,0.232986,0.723999
11,0.092000,-0.311277,0.204024,0.012593,-0.033531,0.232989,0.723997
12,0.100000,-0.308249,0.199978,0.015740,-0.033532,0.232990,0.723994
13,0.108000,-0.310202,0.209407,0.020463,-0.033526,0.232988,0.723995
14,0.117000,-0.309748,0.200334,0.019246,-0.033529,0.232989,0.723995
15,0.125000,-0.308979,0.206845,0.023431,-0.033528,0.232992,0.724000
16,0.133000,-0.301381,0.208120,0.027773,-0.033524,0.232990,0.724001
17,0.142000,-0.284882,0.206839,0.040130,-0.033533,0.232973,0.724013
18,0.150000,-0.284512,0.208017,0.038878,-0.033530,0.232971,0.724017
19,0.158000,-0.303884,0.209704,0.022348,-0.033527,0.232987,0.724002
20,0.167000,-0.311284,0.202104,0.024085,-0.033524,0.232990,0.723997
21,0.175000,-0.311372,0.203692,0.019574,-0.033531,0.232992,0.723995
22,0.183000,-0.306899,0.205401,0.017309,-0.033528,0.232993,0.723999
23,0.192000,-0.309968,0.209599,0.022818,-0.033522,0.232986,0.723998
24,0.200000,-0.307673,0.200384,0.022361,-0.033524,0.232986,0.724003
25,0.208000,-0.306500,0.203026,0.015732,-0.033528,0.232988,0.724004
26,0.217000,-0.290432,0.211169,0.035037,-0.033532,0.232971,0.724010
27,0.225000,-0.302505,0.208836,0.021604,-0.033524,0.232979,0.723999
28,0.233000,-0.311270,0.205316,0.015673,-0.033524,0.232991,0.723996
29,0.242000,-0.315899,0.201044,0.012103,-0.033530,0.232996,0.723997
30,0.250000,-0.312554,0.197949,0.020353,-0.033531,0.232989,0.724000
31,0.258000,-0.311971,0.204213,0.029243,-0.033527,0.232987,0.723997
32,0.267000,-0.309665,0.203391,0.015618,-0.033527,0.232993,0.723999
33,0.275000,-0.309546,0.204039,0.026108,-0.033524,0.232985,0.724001
34,0.283000,-0.310037,0.204717,0.016508,-0.033526,0.232986,0.723997
35,0.292000,-0.309110,0.203211,0.021437,-0.033525,0.232987,0.724000
36,0.300000,-0.290169,0.208760,0.030934,-0.033532,0.232972,0.724011
37,0.308000,-0.299288,0.207150,0.014749,-0.033528,0.232985,0.724004
38,0.317000,-0.305673,0.204722,0.019940,-0.033528,0.232985,0.723996
39,0.325000,-0.297344,0.208605,0.038851,-0.033533,0.232977,0.724008
40,0.333000,-0.301187,0.209010,0.021831,-0.033522,0.232982,0.724001
41,0.342000,-0.309992,0.209001,0.019951,-0.033528,0.232996,0.723998
42,0.350000,-0.290123,0.205414,0.038681,-0.033531,0.232977,0.724010
43,0.358000,-0.293619,0.212197,0.023997,-0.033520,0.232978,0.724007
44,0.367000,-0.307773,0.201977,0.020718,-0.033526,0.232986,0.724001
45,0.375000,-0.313002,0.204976,0.019703,-0.033530,0.232991,0.723996
46,0.383000,-0.307596,0.204406,0.011611,-0.033525,0.232986,0.723995
47,0.392000,-0.311839,0.209084,0.017763,-0.033526,0.232987,0.723996
48,0.400000,-0.305217,0.202157,0.023305,-0.033528,0.232989,0.724002
49,0.408000,-0.307727,0.199547,0.016424,-0.033533,0.232991,0.723997
50,0.417000,-0.314217,0.205065,0.019670,-0.033527,0.232991,0.723996
51,0.425000,-0.309531,0.205014,0.015334,-0.033527,0.232988,0.723998
