Format Version,1.23,Take Name,Drone-Take1-Mar12,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2025-03-12 04.10.17.929 PM,Capture Start Frame,534588,Total Frames in Take,45018,Total Exported Frames,45018,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Optic Flow Drone,Optic Flow Drone,Optic Flow Drone,Optic Flow Drone,Optic Flow Drone,Optic Flow Drone
,ID,11CA5A58FF8E11EFE509D45A5468D7BA,11CA5A58FF8E11EFE509D45A5468D7BA,11CA5A58FF8E11EFE509D45A5468D7BA,11CA5A58FF8E11EFE509D45A5468D7BA,11CA5A58FF8E11EFE509D45A5468D7BA,11CA5A58FF8E11EFE509D45A5468D7BA
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,5.312324,3.537839,-0.402029,-0.151438,0.729212,1.454826
1,0.004000,5.460558,3.525826,-0.404916,-0.151505,0.729378,1.453619
2,0.008000,5.549575,3.546990,-0.451160,-0.151550,0.729550,1.452302
3,0.013000,5.684741,3.575649,-0.501584,-0.151578,0.729745,1.450948
4,0.017000,5.750288,3.595141,-0.568540,-0.151593,0.730010,1.449675
5,0.021000,5.844254,3.638989,-0.606580,-0.151648,0.730235,1.448445
6,0.025000,6.004950,3.631217,-0.613517,-0.151787,0.730422,1.447217
7,0.029000,6.102314,3.636053,-0.643811,-0.151856,0.730630,1.445894
8,0.033000,6.162580,3.642087,-0.689348,-0.151913,0.730840,1.444657
9,0.038000,6.257210,3.667768,-0.719664,-0.151923,0.731008,1.443455
10,0.042000,6.338718,3.696091,-0.757899,-0.151994,0.731207,1.442150
11,0.046000,6.446052,3.688041,-0.791885,-0.152139,0.731415,1.440943
12,0.050000,6.520584,3.719443,-0.790217,-0.152199,0.731652,1.439749
13,0.054000,6.562183,3.752758,-0.815068,-0.152304,0.731886,1.438516
14,0.058000,6.650898,3.749055,-0.865176,-0.152422,0.732094,1.437331
15,0.063000,6.731119,3.759759,-0.916744,-0.152508,0.732306,1.436166
16,0.067000,6.763921,3.796903,-0.952017,-0.152624,0.732576,1.434990
17,0.071000,6.813599,3.802078,-0.972113,-0.152771,0.732820,1.433816
18,0.075000,6.879015,3.817638,-0.994719,-0.152893,0.733052,1.432687
19,0.079000,6.919718,3.823809,-1.022621,-0.153008,0.733286,1.431520
20,0.083000,6.940042,3.830043,-1.087836,-0.153154,0.733514,1.430420
21,0.088000,6.971287,3.888018,-1.134158,-0.153308,0.733779,1.429299
22,0.092000,6.973011,3.902818,-1.174504,-0.153439,0.734017,1.428210
23,0.096000,6.981808,3.890753,-1.182647,-0.153565,0.734272,1.427128
24,0.100000,7.000501,3.902298,-1.224794,-0.153724,0.734514,1.426040
25,0.104000,7.012116,3.914448,-1.255623,-0.153899,0.734736,1.424930
26,0.108000,7.021606,3.948024,-1.293934,-0.154055,0.734957,1.423846
27,0.113000,7.012529,3.997399,-1.321213,-0.154234,0.735197,1.422844
28,0.117000,6.995153,4.031349,-1.342696,-0.154408,0.735450,1.421812
29,0.121000,6.997441,4.032675,-1.357460,-0.154607,0.735695,1.420753
30,0.125000,7.001666,4.037518,-1.384007,-0.154826,0.735908,1.419712
31,0.129000,6.997580,4.073452,-1.420000,-0.155027,0.736122,1.418687
32,0.133000,6.963068,4.094171,-1.455840,-0.155286,0.736367,1.417746
33,0.138000,6.936282,4.103536,-1.480514,-0.155547,0.736606,1.416791
34,0.142000,6.915526,4.157882,-1.473915,-0.155782,0.736836,1.415815
35,0.146000,6.891496,4.177870,-1.500138,-0.156012,0.737090,1.414844
36,0.150000,6.845221,4.192532,-1.522089,-0.156297,0.737334,1.413885
37,0.154000,6.812091,4.225025,-1.559353,-0.156552,0.737539,1.412968
38,0.158000,6.773612,4.236058,-1.573314,-0.156802,0.737773,1.412037
39,0.163000,6.732157,4.254470,-1.590422,-0.157020,0.737974,1.411144
40,0.167000,6.673720,4.271699,-1.607278,-0.157259,0.738189,1.410230
41,0.171000,6.598877,4.290023,-1.625804,-0.157478,0.738407,1.409348
42,0.175000,6.543067,4.320061,-1.646237,-0.157731,0.738584,1.408465
43,0.179000,6.484178,4.369614,-1.659166,-0.157992,0.738799,1.407642
44,0.183000,6.432629,4.404685,-1.685006,-0.158258,0.738967,1.406804
45,0.188000,6.388407,4.405307,-1.704919,-0.158561,0.739137,1.405965
46,0.192000,6.325443,4.415900,-1.728576,-0.158866,0.739359,1.405108
47,0.196000,6.256035,4.441861,-1.724834,-0.159156,0.739578,1.404284
48,0.200000,6.162267,4.437234,-1.756247,-0.159508,0.739822,1.403564
49,0.204000,6.083844,4.450377,-1.755452,-0.159791,0.740009,1.402788
50,0.208000,6.030764,4.476191,-1.760373,-0.160139,0.740209,1.402009
51,0.213000,5.925135,4.518421,-1.766476,-0.160517,0.740419,1.401242
52,0.217000,5.838693,4.549671,-1.762915,-0.160848,0.740614,1.400542
53,0.221000,5.743594,4.549562,-1.760934,-0.161222,0.740793,1.399808
54,0.225000,5.672297,4.567086,-1.750462,-0.161545,0.740971,1.399122
55,0.229000,5.602627,4.592521,-1.754154,-0.161853,0.741131,1.398440
56,0.233000,5.532685,4.612676,-1.775287,-0.162164,0.741310,1.397739
57,0.238000,5.461194,4.617033,-1.798463,-0.162502,0.741448,1.397059
58,0.242000,5.378522,4.611191,-1.812734,-0.162843,0.741639,1.396387
59,0.246000,5.289902,4.608290,-1.818915,-0.163174,0.741779,1.395717
60,0.250000,5.228118,4.600805,-1.829512,-0.163492,0.741910,1.395099
61,0.254000,5.117480,4.587458,-1.816986,-0.163822,0.742082,1.394444
62,0.258000,5.027306,4.607256,-1.833477,-0.164231,0.742263,1.393837
63,0.263000,4.969223,4.615628,-1.852036,-0.164587,0.742381,1.393242
64,0.267000,4.903114,4.616885,-1.861406,-0.164930,0.742524,1.392642
65,0.271000,4.857732,4.615905,-1.866965,-0.165287,0.742653,1.392031
66,0.275000,4.788449,4.582236,-1.853443,-0.165669,0.742811,1.391452
67,0.279000,4.707428,4.553601,-1.851485,-0.166038,0.742943,1.390831
68,0.283000,4.646006,4.536083,-1.868148,-0.166451,0.743076,1.390240
69,0.288000,4.601912,4.513269,-1.887026,-0.166837,0.743166,1.389657
70,0.292000,4.553606,4.484966,-1.883573,-0.167186,0.743291,1.389109
71,0.296000,4.495233,4.457500,-1.891614,-0.167561,0.743423,1.388547
72,0.300000,4.445193,4.443579,-1.895993,-0.167917,0.743534,1.387987
73,0.304000,4.352896,4.411628,-1.913452,-0.168281,0.743706,1.387441
74,0.308000,4.322981,4.417624,-1.902784,-0.168578,0.743786,1.386851
75,0.313000,4.301381,4.411385,-1.905092,-0.168891,0.743860,1.386334
76,0.317000,4.256099,4.378259,-1.937462,-0.169273,0.743966,1.385824
77,0.321000,4.241451,4.389627,-1.925753,-0.169565,0.744037,1.385303
78,0.325000,4.197068,4.371899,-1.930437,-0.169888,0.744128,1.384797
79,0.329000,4.158765,4.337652,-1.952568,-0.170238,0.744233,1.384287
80,0.333000,4.155836,4.326509,-1.941749,-0.170540,0.744289,1.383779
81,0.338000,4.160481,4.321736,-1.939407,-0.170825,0.744343,1.383306
82,0.342000,4.153859,4.303523,-1.942103,-0.171159,0.744419,1.382826
83,0.346000,4.143203,4.285891,-1.951363,-0.171469,0.744516,1.382367
84,0.350000,4.097908,4.261866,-1.971988,-0.171805,0.744605,1.381941
85,0.354000,4.078588,4.256142,-1.977013,-0.172088,0.744657,1.381472
86,0.358000,4.066827,4.245696,-1.975408,-0.172376,0.744697,1.381029
87,0.363000,4.072228,4.253641,-1.978760,-0.172650,0.744739,1.380583
88,0.367000,4.087236,4.260940,-1.958863,-0.172889,0.744776,1.380166
89,0.371000,4.092641,4.271694,-1.948916,-0.173138,0.744829,1.379761
90,0.375000,4.101980,4.289190,-1.957978,-0.173410,0.744874,1.379383
91,0.379000,4.116559,4.298152,-1.957532,-0.173682,0.744938,1.378994
92,0.383000,4.102528,4.293900,-1.981238,-0.173990,0.745012,1.378620
93,0.388000,4.086123,4.321814,-1.991826,-0.174255,0.745091,1.378210
94,0.392000,4.102213,4.322990,-1.991739,-0.174522,0.745139,1.377849
95,0.396000,4.127103,4.332266,-1.991926,-0.174775,0.745174,1.377519
96,0.400000,4.200324,4.335138,-1.964773,-0.175011,0.745160,1.377161
97,0.404000,4.227651,4.346370,-1.955870,-0.175237,0.745189,1.376826
98,0.408000,4.239820,4.351170,-1.945034,-0.175453,0.745257,1.376541
